observation_date;IGREA
01/08/2014;-52.88839900
01/09/2014;-34.65639100
01/10/2014;-36.42817900
01/11/2014;-17.01169400
01/12/2014;-54.68942600
01/01/2015;-76.54207800
01/02/2015;-106.22635000
01/03/2015;-99.77169400
01/04/2015;-97.07139600
01/05/2015;-96.28316200
01/06/2015;-80.61314600
01/07/2015;-47.29725300
01/08/2015;-38.28505000
01/09/2015;-56.04419000
01/10/2015;-67.36813200
01/11/2015;-98.21533800
01/12/2015;-109.40661000
01/01/2016;-138.75527000
01/02/2016;-161.46333000
01/03/2016;-139.37302000
01/04/2016;-93.54798300
01/05/2016;-91.59303300
01/06/2016;-93.66444400
01/07/2016;-78.27889200
01/08/2016;-83.29972600
01/09/2016;-62.68230400
01/10/2016;-57.94958400
01/11/2016;-36.86369400
01/12/2016;-39.05072400
01/01/2017;-53.86737700
01/02/2017;-71.63050200
01/03/2017;-30.67633600
01/04/2017;-23.82266400
01/05/2017;-46.33636100
01/06/2017;-58.56836900
01/07/2017;-53.24504400
01/08/2017;-30.33805800
01/09/2017;-12.93180700
01/10/2017;-4.36053210
01/11/2017;-6.52738640
01/12/2017;4.16781130
01/01/2018;-22.57932600
01/02/2018;-32.61118900
01/03/2018;-29.88318800
01/04/2018;-32.16691800
01/05/2018;-18.66261700
01/06/2018;-14.12414300
01/07/2018;5.88339720
01/08/2018;9.44319330
01/09/2018;-7.29635440
01/10/2018;-0.81033256
01/11/2018;-26.51246200
01/12/2018;-15.08449600
01/01/2019;-37.62002300
01/02/2019;-90.22505100
01/03/2019;-82.63980300
01/04/2019;-70.02988000
01/05/2019;-40.60366300
01/06/2019;-27.89962800
01/07/2019;18.58858200
01/08/2019;24.48050700
01/09/2019;37.39765500
01/10/2019;16.17966700
01/11/2019;-9.15245760
01/12/2019;-11.99114800
01/01/2020;-79.73677400
01/02/2020;-121.61243000
01/03/2020;-94.50252300
01/04/2020;-83.58011100
01/05/2020;-113.89692000
01/06/2020;-29.01413000
01/07/2020;6.02174210
01/08/2020;-1.61609630
01/09/2020;-8.85249330
01/10/2020;5.68896080
01/11/2020;-26.76028400
01/12/2020;-21.73652400
01/01/2021;6.96243660
01/02/2021;-3.29056370
01/03/2021;26.03799400
01/04/2021;45.92497800
01/05/2021;63.51992800
01/06/2021;61.74665600
01/07/2021;69.79393400
01/08/2021;85.10162500
01/09/2021;99.07616000
01/10/2021;110.01242000
01/11/2021;54.29478300
01/12/2021;55.59656100
01/01/2022;7.69119400
01/02/2022;11.21730200
01/03/2022;39.80292700
01/04/2022;29.12134700
01/05/2022;56.58549000
01/06/2022;34.65602900
01/07/2022;20.83399800
01/08/2022;-17.66980100
01/09/2022;-12.71061200
01/10/2022;6.82103400
01/11/2022;-26.66956400
01/12/2022;-15.35433800
01/01/2023;-62.60721700
01/02/2023;-95.13781600
01/03/2023;-18.83516200
01/04/2023;-14.24930600
01/05/2023;-18.61318400
01/06/2023;-45.55919200
01/07/2023;-49.55705800
01/08/2023;-39.84684100
01/09/2023;-20.86944500
01/10/2023;8.55893260
01/11/2023;6.56470490
01/12/2023;39.14984800
01/01/2024;-6.06893790
01/02/2024;20.31545300
01/03/2024;25.72307800
01/04/2024;0.11254662
01/05/2024;9.32531640
01/06/2024;10.96282900
01/07/2024;11.13054800
01/08/2024;-0.38293424
01/09/2024;13.15354500
01/10/2024;-3.37031410
01/11/2024;-11.44046600
01/12/2024;-45.40443200
